customer_age,vendor_count,product_count,total_spend,total_orders,average_order_revenue,first_order_rearranged,last_order_rearranged,is_chain_percentage,cluster_dendogram,cluster_kmeans,cluster_birch,cluster_som,cluster_dbscan,cluster_meanshift,customer_region,last_promo,payment_method,hour,day,CUI_American_Percentage,CUI_Asian_Percentage,CUI_Beverages_Percentage,CUI_Cafe_Percentage,CUI_Chicken Dishes_Percentage,CUI_Chinese_Percentage,CUI_Desserts_Percentage,CUI_Healthy_Percentage,CUI_Indian_Percentage,CUI_Italian_Percentage,CUI_Japanese_Percentage,CUI_Noodle Dishes_Percentage,CUI_OTHER_Percentage,CUI_Street Food / Snacks_Percentage,CUI_Thai_Percentage
21,2,2,6.06,2,3.03,90,69,0.5,3,2,0,0,0,0,4660,DELIVERY,CARD,Afternoon,weekend,0.440594059,0,0,0,0,0,0,0,0,0.559405941,0,0,0,0,0
19,1,4,22.09,4,5.5225,90,69,1,2,2,0,0,1,0,4140,-,CARD,Late Night,weekend,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
22,1,5,18.35,5,3.67,90,69,1,2,2,0,0,1,0,2440,-,DIGI,Dinner,weekday,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
29,2,2,24.11,2,12.055,90,69,1,2,2,0,0,1,0,8670,DELIVERY,CARD,Late Night,weekend,0,0.499377852,0,0,0,0,0.500622148,0,0,0,0,0,0,0,0
27,1,3,15.57,3,5.19,90,68,1,2,2,0,0,1,0,4660,-,CARD,Breakfast,weekend,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,2,5,61.68,3,20.56,90,68,0.333333333,3,2,0,3,1,0,8670,-,CARD,Afternoon,weekend,0,0.904345006,0.095654994,0,0,0,0,0,0,0,0,0,0,0,0
23,3,3,25.99,3,8.663333333,90,67,0.666666667,3,2,0,0,1,0,8670,-,CARD,Late Night,weekend,0,0.227395152,0.510965756,0,0,0,0,0,0,0,0.261639092,0,0,0,0
20,2,2,6.01,2,3.005,90,67,1,2,2,0,0,1,0,2440,-,CASH,Afternoon,weekday,0,0,0,0,0,0,0.595673877,0,0,0,0,0,0,0.404326123,0
19,2,2,5.07,2,2.535,90,67,1,2,2,0,0,1,0,2360,-,CASH,Dinner,weekday,0.299802761,0,0,0,0,0.700197239,0,0,0,0,0,0,0,0,0
26,2,2,9.3,2,4.65,90,67,1,2,2,0,0,1,0,2360,-,CARD,Dinner,weekday,0,0,0,0,0.537634409,0.462365591,0,0,0,0,0,0,0,0,0
27,2,2,9.76,2,4.88,90,66,1,2,2,0,0,1,0,2360,-,DIGI,Lunch,weekday,0,0,0,0,0,0,0,0,0,0,0,0.738729508,0.261270492,0,0
22,1,4,13.36,3,4.453333333,90,66,0,3,2,0,0,1,0,4660,-,CARD,Lunch,weekday,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
21,2,3,32.21,2,16.105,90,66,0,3,2,0,1,1,0,8670,DISCOUNT,CASH,Late Night,weekday,0.603539274,0,0,0,0,0,0.396460726,0,0,0,0,0,0,0,0
27,4,8,17.56,7,2.508571429,90,66,1,2,2,0,0,1,0,2360,-,CARD,Afternoon,weekday,0,0,0,0.484624146,0,0,0,0,0,0,0.112756264,0,0.40261959,0,0
27,5,17,90.12,12,7.51,90,66,1,1,2,0,3,-1,0,2360,DISCOUNT,CARD,Breakfast,weekend,0,0,0.830004439,0,0,0,0,0,0.063249001,0.068353307,0,0,0,0.038393253,0
27,2,3,25.44,2,12.72,90,66,0,3,2,0,0,1,0,8670,DISCOUNT,CARD,Late Night,weekday,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
31,2,7,73.29,5,14.658,90,65,0,3,2,0,2,1,0,8670,-,CARD,Late Night,weekday,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1,4,10.27,3,3.423333333,90,65,0,3,2,0,0,1,0,2360,FREEBIE,CARD,Lunch,weekday,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
31,7,26,96.93,16,6.058125,90,65,0.75,1,2,0,2,-1,0,2360,DELIVERY,CARD,Lunch,weekend,0,0,0.279480037,0.023006293,0,0.608067678,0,0.058083153,0,0,0,0,0.031362839,0,0
26,4,5,20.09,4,5.0225,90,65,1,2,2,0,0,1,0,2360,-,DIGI,Breakfast,weekend,0,0,0,0,0.409656546,0,0,0,0,0,0.06371329,0,0.285216526,0.241413639,0
25,1,3,14.02,2,7.01,90,64,0,3,2,0,0,1,0,2360,DELIVERY,CARD,Afternoon,weekday,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
24,4,9,62.78,7,8.968571429,90,64,0.428571429,1,2,0,3,1,0,4140,-,CASH,Afternoon,weekday,0.407932463,0,0,0,0,0,0,0,0,0.513380057,0,0,0,0.07868748,0
27,4,6,28.46,4,7.115,90,64,0.75,3,2,0,3,1,0,2360,DISCOUNT,CARD,Lunch,weekend,0,0.522136332,0,0,0.242094167,0,0,0,0.235769501,0,0,0,0,0,0
26,2,3,11.12,2,5.56,90,64,1,2,2,0,0,1,0,2360,FREEBIE,DIGI,Breakfast,weekday,0,0,0.688848921,0,0,0,0,0,0,0,0,0.311151079,0,0,0
24,2,2,10.25,2,5.125,90,64,0.5,3,2,0,0,0,0,2360,DELIVERY,CARD,Afternoon,weekday,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
31,4,4,5.15,4,1.2875,90,64,0.75,3,2,0,0,-1,0,2440,DISCOUNT,CARD,Dinner,weekday,0,0,0,0,0,0.553398058,0,0,0.165048544,0,0,0.110679612,0.170873786,0,0
24,2,7,46.49,2,23.245,90,64,1,2,2,0,0,1,0,2360,-,CARD,Lunch,weekday,0,0.066681007,0,0,0,0,0,0,0,0,0,0.933318993,0,0,0
34,4,6,17.2,5,3.44,90,64,0.8,2,2,0,0,1,0,2360,-,CARD,Breakfast,weekday,0,0,0.859302326,0,0.061627907,0,0,0,0,0,0,0,0.079069767,0,0
31,2,3,23.87,2,11.935,90,64,0,3,2,0,0,1,0,4660,FREEBIE,CASH,Afternoon,weekday,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
27,3,6,16.38,5,3.276,90,64,1,2,2,0,0,1,0,2440,DISCOUNT,CARD,Afternoon,weekday,0.31990232,0,0,0,0.23015873,0,0,0,0,0,0,0,0.44993895,0,0
27,1,2,30.1,2,15.05,90,63,1,2,2,0,0,1,0,4660,-,CARD,Lunch,weekday,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
39,2,2,18.65,2,9.325,90,63,1,2,2,0,0,1,0,8670,-,CARD,Afternoon,weekday,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18,4,5,37.36,5,7.472,90,63,0.6,3,2,0,3,-1,0,8670,-,CARD,Late Night,weekday,0.333244111,0.345021413,0.321734475,0,0,0,0,0,0,0,0,0,0,0,0
25,1,3,5.01,3,1.67,90,63,1,2,2,0,1,1,0,2440,-,CARD,Lunch,weekday,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2,2,10.5,2,5.25,90,63,1,2,2,0,0,1,0,2360,-,CARD,Afternoon,weekday,0,0,0,0,0.808571429,0,0.191428571,0,0,0,0,0,0,0,0
22,3,4,29.43,4,7.3575,90,63,0.5,3,2,0,3,1,0,8670,-,CARD,Late Night,weekend,0.196058444,0.603465851,0.200475705,0,0,0,0,0,0,0,0,0,0,0,0
24,2,3,24.86,3,8.286666667,90,63,1,2,2,0,0,1,0,8670,FREEBIE,CASH,Late Night,weekday,0,0.511263073,0,0,0,0,0.488736927,0,0,0,0,0,0,0,0
22,2,2,7.68,2,3.84,90,62,0.5,3,2,0,0,0,0,2360,DELIVERY,DIGI,Breakfast,weekend,0.110677083,0,0,0.889322917,0,0,0,0,0,0,0,0,0,0,0
46,5,10,45.47,6,7.578333333,90,62,1,2,2,0,0,-1,0,2490,DELIVERY,CARD,Breakfast,weekday,0.075214427,0.651638443,0,0,0,0.163404442,0,0,0,0.049043325,0,0,0.060699362,0,0
25,2,3,44.01,2,22.005,90,62,0,3,2,0,2,1,0,8670,-,CARD,Breakfast,weekend,0.559872756,0.440127244,0,0,0,0,0,0,0,0,0,0,0,0,0
24,1,3,12.52,3,4.173333333,90,62,1,2,2,0,0,1,0,2360,-,CARD,Dinner,weekend,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
21,3,5,43.91,5,8.782,90,62,0,3,2,0,3,1,0,8670,DELIVERY,CARD,Lunch,weekend,0,0.162833068,0.414028695,0,0,0,0,0,0,0,0,0,0,0.423138237,0
26,1,4,22.37,2,11.185,90,62,0,3,2,0,0,1,0,2490,-,CARD,Afternoon,weekend,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
30,2,7,33.74,5,6.748,90,62,0,3,2,0,3,1,0,4660,-,CASH,Dinner,weekend,0,0,0,0,0,0,0,0,0,0.822169532,0,0,0,0.177830468,0
28,2,2,23.08,2,11.54,90,62,0,3,2,0,0,1,0,4660,DISCOUNT,CARD,Lunch,weekend,0,0,0,0,0,0.171577123,0,0,0,0,0.828422877,0,0,0,0
